"freq,unit,coicop,geo\TIME_PERIOD",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"A,INX_A_AVG,CP00,HU",98.24,99.92,99.94,100,100.45,102.84,105.84,109.46,113.15,119.04,137.22,160.59
"A,INX_A_AVG,CP00,IE",99.2,99.7,100,100,99.8,100.1,100.8,101.7,101.2,103.6,112,117.8
"A,INX_A_AVG,CP00,IS",94.84,98.76,99.74,100,100.79,99.13,99.86,101.85,103.06,106.84,112.96,121.98
"A,INX_A_AVG,CP00,IT",98.4,99.7,99.9,100,99.9,101.3,102.5,103.2,103,105,114.2,120.9
"A,INX_A_AVG,CP00,LT",99.28,100.44,100.68,100,100.68,104.42,107.07,109.47,110.63,115.75,137.57,149.52
"A,INX_A_AVG,CP00,LU",97.59,99.25,99.94,100,100.04,102.15,104.21,105.93,105.93,109.61,118.55,122.02
"A,INX_A_AVG,CP00,LV",99.09,99.11,99.79,100,100.1,103,105.63,108.53,108.62,112.14,131.47,143.38
"A,INX_A_AVG,CP00,ME",: ,: ,: ,100.00 d,99.93 d,102.68 d,105.39 d,105.94 d,105.39 d,108.03 d,120.92 d,: 
"A,INX_A_AVG,CP00,MK",97.26 d,99.91 d,99.87 d,100.00 d,100.24 d,102.35 d,104.66 d,105.42 d,106.73 d,110.36 d,125.83 d,137.15 d
"A,INX_A_AVG,CP00,MT",97.13,98.08,98.84,100,100.9,102.18,103.95,105.54,106.37,107.12,113.69,120.01
"A,INX_A_AVG,CP00,NL",96.99,99.47,99.79,100,100.11,101.4,103.02,105.78,106.96,109.98,122.78,127.81
"A,INX_A_AVG,CP00,NO",94.3,96.2,98,100,103.9,105.8,109,111.5,112.8,117.2,124.5,131.6
"A,INX_A_AVG,CP00,PL",99.8,100.6,100.7,100,99.8,101.4,102.6,104.8,108.6,114.3,129.4,143.5
"A,INX_A_AVG,CP00,PT",99.22,99.65,99.5,100,100.64,102.2,103.4,103.71,103.58,104.55,113.03,118.98
"A,INX_A_AVG,CP00,RO",95.98,99.04,100.41,100,98.93,100,104.08,108.15,110.67,115.21,129.06,141.64
"A,INX_A_AVG,CP00,RS",89.4 d,96.3 d,98.5 d,100.0 d,101.3 d,104.7 d,106.8 d,108.8 d,110.7 d,115.2 d,128.7 d,144.2 d
"A,INX_A_AVG,CP00,SE",98.66,99.1,99.3,100,101.14,103.02,105.12,106.93,107.63,110.49,119.39,126.44
"A,INX_A_AVG,CP00,SI",98.5,100.4,100.77,100,99.85,101.4,103.36,105.11,104.82,106.97,116.94,125.38
"A,INX_A_AVG,CP00,SK",99,100.45,100.35,100,99.52,100.9,103.46,106.33,108.47,111.53,125.05,138.79
"A,INX_A_AVG,CP00,TR",79.31 d,85.22 d,92.81 d,100.00 d,107.66 d,119.63 d,139.17 d,160.30 d,179.98 d,215.24 d,370.82 d,570.94 d
"A,INX_A_AVG,CP00,UK",96.1,98.5,100,100,100.7,103.4,105.9,107.8,: ,: ,: ,: 
"A,INX_A_AVG,CP00,US",98.23 d,99.46 d,100.76 d,100.00 d,100.57 d,102.34 d,104.55 d,105.99 d,106.80 d,112.50 d,122.27 d,125.94 d
"A,INX_A_AVG,CP00,XK",: ,: ,: ,: ,100.27 d,101.77 d,102.84 d,105.59 d,105.80 d,109.35 d,122.01 d,128.04 d
