"unit,geo\time",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"I15,IT",74.1,71.9,102.9,102,105.3,102,100,96.5,94.4,87.3,94.7,99.4 b,102.9 e,92.8 e,92.0 e,93.4 e,94.9 e,101.3 e,102.1 e,101.8 e,101.5 e,102.8 e,99.5 e,100.5 e,99.5 e,99.8 e,99.1 e,: ,: ,: ,: ,: 
"I15,LT",94.9 e,93.5 e,106.9 e,107.5,115.5,100.7,100,101.1,138.1,146,134.2,153.4,171.6,155.9,165,185.3,177.6,146.2,120,113.7,120.2 e,124.8 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,LU",86.3 e,84.6 e,99.6 e,99.4 e,98.5 e,97.6 e,100,98.8 e,98.3 e,99.4 e,98.8 e,98.1 e,103.7 e,100.6 e,98.0 e,103.8 e,106.4 e,105.5 e,108.0 e,109.1 e,111.2 e,110.4 e,106.1 e,114.4 e,119.7 e,123.5 e,122.8 e,: ,: ,: ,: ,: 
"I15,LV",78.7,91.1,98.9,99.9,102,99.3,100,99,95.8,96.5,102.7,111.3,106.9,104.8,112.5 e,112.7 e,113.6,119.1 e,129.9 e,137.6 e,139.9 e,152.7 e,160.4 e,149.7 e,145.6 e,143.2 e,146.7 e,: ,: ,: ,: ,: 
"I15,ME",97.9 e,99.9 e,105.2 e,104.5 e,103.7 e,106.7 e,100,101.8 e,104.7 e,105.8 e,101.0 e,108.8 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,MK",110.3 p,103.8,93,96.9,95,96.2,100,102.6,96.3,77.7,83.0 e,75.1 e,69.3 e,69.0 e,66.4 e,79.1 e,82.6 e,85.3 e,90.6 e,82.1 e,79.7 e,79.7 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,MT",72.9 e,76.1 e,83.8 e,87.3 e,91.0 e,99.8 e,100,104.6 e,106.9 e,111.0 e,115.2 e,115.5 e,121.2 e,118.7 e,120.7 e,123.8 e,123.9 e,126.0 e,123.1 e,124.9 e,124.8 e,122.8 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,NL",72.4 ep,68.4 e,97.0 e,97.0 e,95.0 e,99.0 e,100,106.8 e,108.0 e,106.8 e,105.9 e,106.9 e,108.9 e,105.4 e,108.8 e,112.7,117,121.1,123.3,119.4,118.2,120.4 b,128.1 e,131.5 e,149.1 e,149.8 e,155.9 e,: ,: ,: ,: ,: 
"I15,NO",89.3 e,89.3 e,98.7 e,99.0 e,98.8 e,99.6 e,100,99.5,98.4,98.1,100.9,100.4,99.9,97.1,95.6,95.5,96.4,96.5,101.8 e,102.2 e,102.0 be,94.2,96.8,97.6,98.4,103.8,104.8,: ,111.5,113.4,117.6,122.5
"I15,PL",83.3 e,84.9 e,94.4 e,96.1 e,99.9 e,101.8,100,102.4,104.5,104.9,110.4,112.5,162.2 e,153.8 b,104.7 e,142.4 be,124.8,127.4 b,137.3 e,139.1 e,137.9 e,135.9 e,136.7 e,141.5 e,140.1 e,141.3 e,146.5 e,: ,: ,: ,: ,: 
"I15,PT",97.9 ep,95.3 e,104.8 e,104.7 e,103.8 e,104.4 e,100,99.3 e,98.7 e,98.3 e,95.7 e,95.9 e,100.0 e,98.1 e,97.8 e,99.3 e,100.1 e,103.4 e,103.4 e,97.9 e,95.2 e,95.4 e,95.6 e,94.8 e,93.1 e,92.9 e,92.0 e,: ,: ,: ,: ,: 
"I15,RO",91.2 ep,88.2 e,99.1 e,96.8 e,97.5 e,102.9 e,100,97.1 e,94.8 e,92.0 e,91.0 e,96.3 e,90.3 be,88.2 be,86.0 e,88.9 e,92.4 e,91.1 e,97.8 e,96.4 e,103.6 e,107.3 e,108.2 e,109.2 e,110.4 e,105.5 e,106.0 be,: ,: ,: ,: ,: 
"I15,RS",81.8 e,80.5 e,93.5 e,95.5 e,97.3 e,98.2 e,100,98.4 e,96.0 e,96.8 e,94.9 e,110.8 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,SE",70.0 e,74.9 e,82.2 e,83.5 e,84.3 e,84.8 e,100,102.7 e,103.5 e,104.7 e,104.4 e,98.5,104.6,99.1,98.9,99.7,104,106.5,110.9,112.8,112.4,112.8,116.8,119,123.1,126.7,127.9,131.1,134.7,: ,: ,: 
"I15,SI",77.5 e,77.5 e,91.4 e,93.3 e,96.1 e,98.5 e,100,100.5 e,101.5 e,100.5 e,98.6 e,99.9,101.9,91.2,92.9,94.3,97.5,99.9 e,102.7,105,106.6,108.4,113.8,113.4,119.6,118.9,113.7,: ,: ,: ,: ,: 
"I15,SK",77.3 e,78.2 e,95.4 e,97.1 e,99.2 e,100.5 e,100,101.8 e,103.4 e,103.6 e,105.3 e,107.6 e,113.6 e,113.1 e,119.7 e,136.9 e,148.5 e,158.9 e,164.0 e,176.5 e,183.5 e,189.3 e,194.9 e,188.2 e,201.2 e,223.2 e,244.7 e,: ,: ,: ,: ,: 
"I15,TR",82.8 e,85,102.9,99.1,94.4 e,99.9,100,100.7,102.4,107.7,106.3,110.7,112.5 b,104.7 e,102.8 e,104.2 e,106.3 e,112.4 e,113.8 e,117.8 e,122.5 e,121.7 e,128.4 e,123.2 e,: ,: ,: ,: ,: ,: ,: ,: 
"I15,UK",: ,: ,104.3 e,103.8 e,103.6 e,99.4,100,102,102.9,106.1,107.1 e,108.4 e,112.6 e,108.5 e,108.6 e,110.5 e,114.8,117.3,120.1,123.8,122.6,123.3,128,130.5,134,138.3,138.7,141.1,144.4,146.1,146.3 e,146.5 e
