"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own bicycle
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Every 2-3 months";"207 / 2,085";"10%";"164 / 2,088";"8%";"159 / 2,094";"8%";"151 / 2,099";"7%";"164 / 2,099";"8%";"163 / 2,095";"8%";"121 / 2,093";"6%";"173 / 2,090";"8%";"165 / 2,081";"8%"
"Less often";"361 / 2,085";"17%";"385 / 2,088";"18%";"256 / 2,094";"12%";"238 / 2,099";"11%";"287 / 2,099";"14%";"219 / 2,095";"10%";"248 / 2,093";"12%";"364 / 2,090";"17%";"271 / 2,081";"13%"
"Not at all";"551 / 2,085";"26%";"508 / 2,088";"24%";"965 / 2,094";"46%";"575 / 2,099";"27%";"761 / 2,099";"36%";"402 / 2,095";"19%";"885 / 2,093";"42%";"520 / 2,090";"25%";"677 / 2,081";"33%"
""
""
"2021 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,086 / 2,086";"100%";"2,088 / 2,088";"100%";"2,096 / 2,096";"100%";"2,613 / 2,613";"100%";"2,097 / 2,097";"100%";"2,096 / 2,096";"100%";"2,093 / 2,093";"100%";"2,087 / 2,087";"100%";"2,074 / 2,074";"100%"
"(Almost) daily";"191 / 2,086";"9%";"274 / 2,088";"13%";"116 / 2,096";"6%";"345 / 2,613";"13%";"188 / 2,097";"9%";"264 / 2,096";"13%";"154 / 2,093";"7%";"291 / 2,087";"14%";"255 / 2,074";"12%"
