"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own / household car
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Every 2-3 months";"23 / 2,085";"1%";"20 / 2,088";"1%";"39 / 2,094";"2%";"28 / 2,099";"1%";"36 / 2,099";"2%";"29 / 2,095";"1%";"32 / 2,093";"2%";"52 / 2,090";"2%";"40 / 2,081";"2%"
"Less often";"31 / 2,085";"1%";"29 / 2,088";"1%";"29 / 2,094";"1%";"38 / 2,099";"2%";"32 / 2,099";"2%";"40 / 2,095";"2%";"37 / 2,093";"2%";"50 / 2,090";"2%";"37 / 2,081";"2%"
"Not at all";"326 / 2,085";"16%";"471 / 2,088";"23%";"259 / 2,094";"12%";"414 / 2,099";"20%";"130 / 2,099";"6%";"281 / 2,095";"13%";"198 / 2,093";"9%";"453 / 2,090";"22%";"406 / 2,081";"20%"
""
""
"2021 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,086 / 2,086";"100%";"2,088 / 2,088";"100%";"2,096 / 2,096";"100%";"2,613 / 2,613";"100%";"2,097 / 2,097";"100%";"2,096 / 2,096";"100%";"2,093 / 2,093";"100%";"2,087 / 2,087";"100%";"2,074 / 2,074";"100%"
"(Almost) daily";"963 / 2,086";"46%";"950 / 2,088";"45%";"1,010 / 2,096";"48%";"1,155 / 2,613";"44%";"1,231 / 2,097";"59%";"1,070 / 2,096";"51%";"1,070 / 2,093";"51%";"764 / 2,087";"37%";"802 / 2,074";"39%"
"2-5 times per week";"539 / 2,086";"26%";"504 / 2,088";"24%";"545 / 2,096";"26%";"650 / 2,613";"25%";"519 / 2,097";"25%";"488 / 2,096";"23%";"494 / 2,093";"24%";"602 / 2,087";"29%";"584 / 2,074";"28%"
"1-4 times per month";"196 / 2,086";"9%";"126 / 2,088";"6%";"198 / 2,096";"9%";"232 / 2,613";"9%";"159 / 2,097";"8%";"163 / 2,096";"8%";"252 / 2,093";"12%";"205 / 2,087";"10%";"221 / 2,074";"11%"
"Every 2-3 months";"32 / 2,086";"2%";"22 / 2,088";"1%";"44 / 2,096";"2%";"39 / 2,613";"1%";"37 / 2,097";"2%";"40 / 2,096";"2%";"27 / 2,093";"1%";"52 / 2,087";"2%";"34 / 2,074";"2%"
