"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Local public transportation
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Every 2-3 months";"213 / 2,085";"10%";"223 / 2,088";"11%";"85 / 2,094";"4%";"203 / 2,099";"10%";"198 / 2,099";"9%";"257 / 2,095";"12%";"181 / 2,093";"9%";"227 / 2,090";"11%";"214 / 2,081";"10%"
"Less often";"296 / 2,085";"14%";"281 / 2,088";"13%";"147 / 2,094";"7%";"276 / 2,099";"13%";"312 / 2,099";"15%";"268 / 2,095";"13%";"225 / 2,093";"11%";"303 / 2,090";"14%";"213 / 2,081";"10%"
"Not at all";"636 / 2,085";"31%";"656 / 2,088";"31%";"1,355 / 2,094";"65%";"715 / 2,099";"34%";"839 / 2,099";"40%";"590 / 2,095";"28%";"584 / 2,093";"28%";"666 / 2,090";"32%";"483 / 2,081";"23%"
""
""
"2021 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,086 / 2,086";"100%";"2,088 / 2,088";"100%";"2,096 / 2,096";"100%";"2,613 / 2,613";"100%";"2,097 / 2,097";"100%";"2,096 / 2,096";"100%";"2,093 / 2,093";"100%";"2,087 / 2,087";"100%";"2,074 / 2,074";"100%"
"(Almost) daily";"380 / 2,086";"18%";"210 / 2,088";"10%";"169 / 2,096";"8%";"274 / 2,613";"10%";"166 / 2,097";"8%";"218 / 2,096";"10%";"258 / 2,093";"12%";"231 / 2,087";"11%";"373 / 2,074";"18%"
"2-5 times per week";"264 / 2,086";"13%";"267 / 2,088";"13%";"196 / 2,096";"9%";"342 / 2,613";"13%";"233 / 2,097";"11%";"326 / 2,096";"16%";"304 / 2,093";"15%";"288 / 2,087";"14%";"370 / 2,074";"18%"
"1-4 times per month";"276 / 2,086";"13%";"381 / 2,088";"18%";"205 / 2,096";"10%";"409 / 2,613";"16%";"314 / 2,097";"15%";"420 / 2,096";"20%";"478 / 2,093";"23%";"329 / 2,087";"16%";"355 / 2,074";"17%"
"Every 2-3 months";"209 / 2,086";"10%";"217 / 2,088";"10%";"97 / 2,096";"5%";"248 / 2,613";"9%";"192 / 2,097";"9%";"255 / 2,096";"12%";"162 / 2,093";"8%";"204 / 2,087";"10%";"227 / 2,074";"11%"
"Less often";"270 / 2,086";"13%";"302 / 2,088";"14%";"157 / 2,096";"7%";"347 / 2,613";"13%";"309 / 2,097";"15%";"292 / 2,096";"14%";"242 / 2,093";"12%";"317 / 2,087";"15%";"239 / 2,074";"12%"
"Not at all";"687 / 2,086";"33%";"711 / 2,088";"34%";"1,272 / 2,096";"61%";"993 / 2,613";"38%";"883 / 2,097";"42%";"585 / 2,096";"28%";"649 / 2,093";"31%";"718 / 2,087";"34%";"510 / 2,074";"25%"
""
""
"2021 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,078 / 2,078";"100%";"2,076 / 2,076";"100%";"2,081 / 2,081";"100%";"3,095 / 3,095";"100%";"2,078 / 2,078";"100%";"2,082 / 2,082";"100%";"2,080 / 2,080";"100%";"2,073 / 2,073";"100%";"2,051 / 2,051";"100%"
"(Almost) daily";"331 / 2,078";"16%";"163 / 2,076";"8%";"174 / 2,081";"8%";"300 / 3,095";"10%";"136 / 2,078";"7%";"211 / 2,082";"10%";"238 / 2,080";"11%";"221 / 2,073";"11%";"357 / 2,051";"17%"
"2-5 times per week";"263 / 2,078";"13%";"262 / 2,076";"13%";"213 / 2,081";"10%";"384 / 3,095";"12%";"218 / 2,078";"10%";"310 / 2,082";"15%";"292 / 2,080";"14%";"270 / 2,073";"13%";"363 / 2,051";"18%"
"1-4 times per month";"280 / 2,078";"13%";"358 / 2,076";"17%";"210 / 2,081";"10%";"480 / 3,095";"16%";"311 / 2,078";"15%";"415 / 2,082";"20%";"464 / 2,080";"22%";"306 / 2,073";"15%";"347 / 2,051";"17%"
"Every 2-3 months";"203 / 2,078";"10%";"214 / 2,076";"10%";"109 / 2,081";"5%";"294 / 3,095";"9%";"191 / 2,078";"9%";"238 / 2,082";"11%";"151 / 2,080";"7%";"190 / 2,073";"9%";"219 / 2,051";"11%"
"Less often";"248 / 2,078";"12%";"295 / 2,076";"14%";"146 / 2,081";"7%";"382 / 3,095";"12%";"283 / 2,078";"14%";"287 / 2,082";"14%";"234 / 2,080";"11%";"309 / 2,073";"15%";"239 / 2,051";"12%"
"Not at all";"753 / 2,078";"36%";"784 / 2,076";"38%";"1,229 / 2,081";"59%";"1,255 / 3,095";"41%";"939 / 2,078";"45%";"621 / 2,082";"30%";"701 / 2,080";"34%";"777 / 2,073";"37%";"526 / 2,051";"26%"
""
""
"2021 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,066 / 2,066";"100%";"2,061 / 2,061";"100%";"2,063 / 2,063";"100%";"3,576 / 3,576";"100%";"2,061 / 2,061";"100%";"2,064 / 2,064";"100%";"2,066 / 2,066";"100%";"2,064 / 2,064";"100%";"2,047 / 2,047";"100%"
"(Almost) daily";"296 / 2,066";"14%";"150 / 2,061";"7%";"180 / 2,063";"9%";"325 / 3,576";"9%";"120 / 2,061";"6%";"217 / 2,064";"11%";"218 / 2,066";"11%";"207 / 2,064";"10%";"373 / 2,047";"18%"
"2-5 times per week";"268 / 2,066";"13%";"254 / 2,061";"12%";"236 / 2,063";"11%";"437 / 3,576";"12%";"233 / 2,061";"11%";"302 / 2,064";"15%";"284 / 2,066";"14%";"276 / 2,064";"13%";"333 / 2,047";"16%"
"1-4 times per month";"288 / 2,066";"14%";"339 / 2,061";"16%";"239 / 2,063";"12%";"577 / 3,576";"16%";"312 / 2,061";"15%";"422 / 2,064";"20%";"456 / 2,066";"22%";"311 / 2,064";"15%";"356 / 2,047";"17%"
"Every 2-3 months";"203 / 2,066";"10%";"211 / 2,061";"10%";"125 / 2,063";"6%";"337 / 3,576";"9%";"182 / 2,061";"9%";"252 / 2,064";"12%";"166 / 2,066";"8%";"179 / 2,064";"9%";"223 / 2,047";"11%"
"Less often";"243 / 2,066";"12%";"287 / 2,061";"14%";"140 / 2,063";"7%";"426 / 3,576";"12%";"253 / 2,061";"12%";"257 / 2,064";"12%";"231 / 2,066";"11%";"307 / 2,064";"15%";"250 / 2,047";"12%"
"Not at all";"768 / 2,066";"37%";"820 / 2,061";"40%";"1,143 / 2,063";"55%";"1,474 / 3,576";"41%";"961 / 2,061";"47%";"614 / 2,064";"30%";"711 / 2,066";"34%";"784 / 2,064";"38%";"512 / 2,047";"25%"
""
""
"2021 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,047 / 2,047";"100%";"4,061 / 4,061";"100%";"2,049 / 2,049";"100%";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,051 / 2,051";"100%";"2,031 / 2,031";"100%"
"(Almost) daily";"281 / 2,050";"14%";"162 / 2,045";"8%";"205 / 2,047";"10%";"388 / 4,061";"10%";"128 / 2,049";"6%";"218 / 2,050";"11%";"210 / 2,045";"10%";"209 / 2,051";"10%";"370 / 2,031";"18%"
"2-5 times per week";"282 / 2,050";"14%";"248 / 2,045";"12%";"240 / 2,047";"12%";"514 / 4,061";"13%";"239 / 2,049";"12%";"274 / 2,050";"13%";"269 / 2,045";"13%";"270 / 2,051";"13%";"323 / 2,031";"16%"
"1-4 times per month";"278 / 2,050";"14%";"335 / 2,045";"16%";"273 / 2,047";"13%";"629 / 4,061";"15%";"335 / 2,049";"16%";"420 / 2,050";"20%";"454 / 2,045";"22%";"323 / 2,051";"16%";"340 / 2,031";"17%"
"Every 2-3 months";"192 / 2,050";"9%";"192 / 2,045";"9%";"136 / 2,047";"7%";"393 / 4,061";"10%";"178 / 2,049";"9%";"251 / 2,050";"12%";"168 / 2,045";"8%";"163 / 2,051";"8%";"229 / 2,031";"11%"
"Less often";"240 / 2,050";"12%";"262 / 2,045";"13%";"149 / 2,047";"7%";"468 / 4,061";"12%";"233 / 2,049";"11%";"268 / 2,050";"13%";"242 / 2,045";"12%";"310 / 2,051";"15%";"269 / 2,031";"13%"
"Not at all";"777 / 2,050";"38%";"846 / 2,045";"41%";"1,044 / 2,047";"51%";"1,669 / 4,061";"41%";"936 / 2,049";"46%";"619 / 2,050";"30%";"702 / 2,045";"34%";"776 / 2,051";"38%";"500 / 2,031";"25%"
""
""
"2022 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,032 / 2,032";"100%";"2,033 / 2,033";"100%";"4,525 / 4,525";"100%";"2,032 / 2,032";"100%";"2,034 / 2,034";"100%";"2,029 / 2,029";"100%";"2,035 / 2,035";"100%";"2,012 / 2,012";"100%"
"(Almost) daily";"298 / 2,035";"15%";"163 / 2,032";"8%";"191 / 2,033";"9%";"448 / 4,525";"10%";"125 / 2,032";"6%";"245 / 2,034";"12%";"223 / 2,029";"11%";"215 / 2,035";"11%";"384 / 2,012";"19%"
"2-5 times per week";"291 / 2,035";"14%";"249 / 2,032";"12%";"229 / 2,033";"11%";"577 / 4,525";"13%";"217 / 2,032";"11%";"264 / 2,034";"13%";"292 / 2,029";"14%";"282 / 2,035";"14%";"331 / 2,012";"16%"
"1-4 times per month";"259 / 2,035";"13%";"359 / 2,032";"18%";"245 / 2,033";"12%";"723 / 4,525";"16%";"364 / 2,032";"18%";"400 / 2,034";"20%";"448 / 2,029";"22%";"319 / 2,035";"16%";"345 / 2,012";"17%"
"Every 2-3 months";"190 / 2,035";"9%";"178 / 2,032";"9%";"148 / 2,033";"7%";"435 / 4,525";"10%";"183 / 2,032";"9%";"243 / 2,034";"12%";"185 / 2,029";"9%";"178 / 2,035";"9%";"223 / 2,012";"11%"
"Less often";"246 / 2,035";"12%";"240 / 2,032";"12%";"152 / 2,033";"7%";"519 / 4,525";"11%";"229 / 2,032";"11%";"250 / 2,034";"12%";"226 / 2,029";"11%";"293 / 2,035";"14%";"243 / 2,012";"12%"
"Not at all";"751 / 2,035";"37%";"843 / 2,032";"41%";"1,068 / 2,033";"53%";"1,823 / 4,525";"40%";"914 / 2,032";"45%";"632 / 2,034";"31%";"655 / 2,029";"32%";"748 / 2,035";"37%";"486 / 2,012";"24%"
""
""
"2022 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,033 / 2,033";"100%";"2,035 / 2,035";"100%";"5,028 / 5,028";"100%";"2,030 / 2,030";"100%";"2,035 / 2,035";"100%";"2,029 / 2,029";"100%";"2,033 / 2,033";"100%";"1,773 / 1,773";"100%"
"(Almost) daily";"320 / 2,035";"16%";"174 / 2,033";"9%";"195 / 2,035";"10%";"557 / 5,028";"11%";"140 / 2,030";"7%";"256 / 2,035";"13%";"231 / 2,029";"11%";"233 / 2,033";"11%";"341 / 1,773";"19%"
"2-5 times per week";"289 / 2,035";"14%";"268 / 2,033";"13%";"240 / 2,035";"12%";"626 / 5,028";"12%";"223 / 2,030";"11%";"283 / 2,035";"14%";"313 / 2,029";"15%";"299 / 2,033";"15%";"283 / 1,773";"16%"
"1-4 times per month";"257 / 2,035";"13%";"375 / 2,033";"18%";"247 / 2,035";"12%";"859 / 5,028";"17%";"365 / 2,030";"18%";"390 / 2,035";"19%";"435 / 2,029";"21%";"339 / 2,033";"17%";"299 / 1,773";"17%"
"Every 2-3 months";"187 / 2,035";"9%";"184 / 2,033";"9%";"154 / 2,035";"8%";"473 / 5,028";"9%";"194 / 2,030";"10%";"246 / 2,035";"12%";"185 / 2,029";"9%";"195 / 2,033";"10%";"192 / 1,773";"11%"
"Less often";"257 / 2,035";"13%";"234 / 2,033";"12%";"157 / 2,035";"8%";"584 / 5,028";"12%";"239 / 2,030";"12%";"256 / 2,035";"13%";"232 / 2,029";"11%";"290 / 2,033";"14%";"201 / 1,773";"11%"
"Not at all";"725 / 2,035";"36%";"798 / 2,033";"39%";"1,042 / 2,035";"51%";"1,929 / 5,028";"38%";"869 / 2,030";"43%";"604 / 2,035";"30%";"633 / 2,029";"31%";"677 / 2,033";"33%";"457 / 1,773";"26%"
""
""
"2022 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,035 / 2,035";"100%";"2,036 / 2,036";"100%";"5,532 / 5,532";"100%";"2,031 / 2,031";"100%";"2,036 / 2,036";"100%";"2,029 / 2,029";"100%";"2,033 / 2,033";"100%";"1,463 / 1,463";"100%"
"(Almost) daily";"328 / 2,035";"16%";"182 / 2,035";"9%";"203 / 2,036";"10%";"652 / 5,532";"12%";"152 / 2,031";"7%";"241 / 2,036";"12%";"248 / 2,029";"12%";"244 / 2,033";"12%";"264 / 1,463";"18%"
"2-5 times per week";"281 / 2,035";"14%";"261 / 2,035";"13%";"248 / 2,036";"12%";"703 / 5,532";"13%";"209 / 2,031";"10%";"282 / 2,036";"14%";"338 / 2,029";"17%";"302 / 2,033";"15%";"241 / 1,463";"16%"
"1-4 times per month";"254 / 2,035";"12%";"393 / 2,035";"19%";"236 / 2,036";"12%";"938 / 5,532";"17%";"372 / 2,031";"18%";"401 / 2,036";"20%";"434 / 2,029";"21%";"332 / 2,033";"16%";"237 / 1,463";"16%"
"Every 2-3 months";"180 / 2,035";"9%";"185 / 2,035";"9%";"149 / 2,036";"7%";"524 / 5,532";"9%";"204 / 2,031";"10%";"249 / 2,036";"12%";"191 / 2,029";"9%";"198 / 2,033";"10%";"154 / 1,463";"11%"
"Less often";"261 / 2,035";"13%";"234 / 2,035";"11%";"160 / 2,036";"8%";"667 / 5,532";"12%";"253 / 2,031";"12%";"262 / 2,036";"13%";"233 / 2,029";"11%";"294 / 2,033";"14%";"161 / 1,463";"11%"
"Not at all";"731 / 2,035";"36%";"780 / 2,035";"38%";"1,040 / 2,036";"51%";"2,048 / 5,532";"37%";"841 / 2,031";"41%";"601 / 2,036";"30%";"585 / 2,029";"29%";"663 / 2,033";"33%";"406 / 1,463";"28%"
""
""
"2022 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,034 / 2,034";"100%";"2,036 / 2,036";"100%";"6,029 / 6,029";"100%";"2,030 / 2,030";"100%";"2,033 / 2,033";"100%";"2,031 / 2,031";"100%";"2,033 / 2,033";"100%";"1,083 / 1,083";"100%"
"(Almost) daily";"325 / 2,035";"16%";"163 / 2,034";"8%";"178 / 2,036";"9%";"713 / 6,029";"12%";"166 / 2,030";"8%";"241 / 2,033";"12%";"268 / 2,031";"13%";"247 / 2,033";"12%";"199 / 1,083";"18%"
"2-5 times per week";"266 / 2,035";"13%";"248 / 2,034";"12%";"249 / 2,036";"12%";"776 / 6,029";"13%";"211 / 2,030";"10%";"291 / 2,033";"14%";"352 / 2,031";"17%";"317 / 2,033";"16%";"184 / 1,083";"17%"
"1-4 times per month";"273 / 2,035";"13%";"376 / 2,034";"18%";"224 / 2,036";"11%";"1,011 / 6,029";"17%";"357 / 2,030";"18%";"411 / 2,033";"20%";"429 / 2,031";"21%";"316 / 2,033";"16%";"179 / 1,083";"17%"
"Every 2-3 months";"173 / 2,035";"9%";"206 / 2,034";"10%";"163 / 2,036";"8%";"563 / 6,029";"9%";"222 / 2,030";"11%";"254 / 2,033";"12%";"183 / 2,031";"9%";"222 / 2,033";"11%";"107 / 1,083";"10%"
"Less often";"281 / 2,035";"14%";"254 / 2,034";"12%";"182 / 2,036";"9%";"747 / 6,029";"12%";"265 / 2,030";"13%";"262 / 2,033";"13%";"220 / 2,031";"11%";"286 / 2,033";"14%";"111 / 1,083";"10%"
"Not at all";"717 / 2,035";"35%";"787 / 2,034";"39%";"1,040 / 2,036";"51%";"2,219 / 6,029";"37%";"809 / 2,030";"40%";"574 / 2,033";"28%";"579 / 2,031";"29%";"645 / 2,033";"32%";"303 / 1,083";"28%"
""
""
"2023 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,034 / 2,034";"100%";"2,035 / 2,035";"100%";"6,026 / 6,026";"100%";"2,031 / 2,031";"100%";"2,033 / 2,033";"100%";"2,029 / 2,029";"100%";"2,030 / 2,030";"100%";"1,021 / 1,021";"100%"
"(Almost) daily";"329 / 2,035";"16%";"164 / 2,034";"8%";"177 / 2,035";"9%";"710 / 6,026";"12%";"172 / 2,031";"8%";"252 / 2,033";"12%";"268 / 2,029";"13%";"247 / 2,030";"12%";"158 / 1,021";"15%"
"2-5 times per week";"254 / 2,035";"12%";"251 / 2,034";"12%";"275 / 2,035";"14%";"797 / 6,026";"13%";"229 / 2,031";"11%";"304 / 2,033";"15%";"363 / 2,029";"18%";"350 / 2,030";"17%";"176 / 1,021";"17%"
"1-4 times per month";"281 / 2,035";"14%";"365 / 2,034";"18%";"236 / 2,035";"12%";"1,020 / 6,026";"17%";"366 / 2,031";"18%";"426 / 2,033";"21%";"442 / 2,029";"22%";"335 / 2,030";"17%";"165 / 1,021";"16%"
"Every 2-3 months";"182 / 2,035";"9%";"226 / 2,034";"11%";"163 / 2,035";"8%";"582 / 6,026";"10%";"223 / 2,031";"11%";"256 / 2,033";"13%";"175 / 2,029";"9%";"208 / 2,030";"10%";"97 / 1,021";"10%"
"Less often";"284 / 2,035";"14%";"253 / 2,034";"12%";"179 / 2,035";"9%";"773 / 6,026";"13%";"277 / 2,031";"14%";"232 / 2,033";"11%";"216 / 2,029";"11%";"283 / 2,030";"14%";"92 / 1,021";"9%"
"Not at all";"705 / 2,035";"35%";"775 / 2,034";"38%";"1,005 / 2,035";"49%";"2,144 / 6,026";"36%";"764 / 2,031";"38%";"563 / 2,033";"28%";"565 / 2,029";"28%";"607 / 2,030";"30%";"333 / 1,021";"33%"
""
""
"2023 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
